Loaded 15233 skin rows into 3528 target families.
Resume skipped existing results: 934; queued: 2594.
Output: C:\Users\18220\Desktop\cs2_alchemy\output\c5-wear-dry-run
[2026-05-25T05:20:17+08:00] dry-run processed=950/3528 success=947 failure=3 diff=27 pending=2575 rate=43.68/s
[2026-05-25T05:20:51+08:00] dry-run processed=975/3528 success=972 failure=3 diff=27 pending=2550 rate=17.48/s
[2026-05-25T05:21:24+08:00] dry-run processed=1000/3528 success=997 failure=3 diff=27 pending=2525 rate=11.21/s
[2026-05-25T05:21:58+08:00] dry-run processed=1025/3528 success=1022 failure=3 diff=27 pending=2500 rate=8.33/s
[2026-05-25T05:22:34+08:00] dry-run processed=1050/3528 success=1047 failure=3 diff=27 pending=2475 rate=6.60/s
[2026-05-25T05:23:08+08:00] dry-run processed=1075/3528 success=1072 failure=3 diff=28 pending=2450 rate=5.57/s
[2026-05-25T05:23:41+08:00] dry-run processed=1100/3528 success=1097 failure=3 diff=29 pending=2425 rate=4.86/s
[2026-05-25T05:24:15+08:00] dry-run processed=1125/3528 success=1122 failure=3 diff=34 pending=2400 rate=4.32/s
[2026-05-25T05:24:51+08:00] dry-run processed=1150/3528 success=1147 failure=3 diff=36 pending=2375 rate=3.88/s
[2026-05-25T05:24:55+08:00] periodic processed=1153/3528 success=1150 failure=3 diff=36 pending=2371 rate=3.84/s
[2026-05-25T05:25:25+08:00] dry-run processed=1175/3528 success=1172 failure=3 diff=36 pending=2350 rate=3.56/s
[2026-05-25T05:25:59+08:00] dry-run processed=1200/3528 success=1197 failure=3 diff=38 pending=2325 rate=3.30/s
[2026-05-25T05:26:33+08:00] dry-run processed=1225/3528 success=1222 failure=3 diff=38 pending=2300 rate=3.08/s
[2026-05-25T05:27:07+08:00] dry-run processed=1250/3528 success=1247 failure=3 diff=39 pending=2275 rate=2.89/s
[2026-05-25T05:27:42+08:00] dry-run processed=1275/3528 success=1271 failure=4 diff=40 pending=2250 rate=2.73/s
[2026-05-25T05:28:16+08:00] dry-run processed=1300/3528 success=1296 failure=4 diff=42 pending=2225 rate=2.60/s
[2026-05-25T05:28:49+08:00] dry-run processed=1325/3528 success=1319 failure=6 diff=43 pending=2200 rate=2.48/s
[2026-05-25T05:29:22+08:00] dry-run processed=1350/3528 success=1344 failure=6 diff=45 pending=2175 rate=2.38/s
