Loaded 15233 skin rows into 3528 target families.
Resume skipped existing results: 10; queued: 3518.
Output: C:\Users\18220\Desktop\cs2_alchemy\output\c5-wear-dry-run
[2026-05-25T04:24:53+08:00] dry-run processed=25/3528 success=25 failure=0 diff=0 pending=3502 rate=0.45/s
[2026-05-25T04:26:21+08:00] dry-run processed=50/3528 success=50 failure=0 diff=1 pending=3477 rate=0.35/s
[2026-05-25T04:27:54+08:00] dry-run processed=75/3528 success=75 failure=0 diff=2 pending=3452 rate=0.32/s
[2026-05-25T04:28:57+08:00] periodic processed=92/3528 success=92 failure=0 diff=2 pending=3434 rate=0.31/s
[2026-05-25T04:29:22+08:00] dry-run processed=100/3528 success=100 failure=0 diff=2 pending=3427 rate=0.31/s
[2026-05-25T04:30:52+08:00] dry-run processed=125/3528 success=124 failure=1 diff=3 pending=3402 rate=0.30/s
[2026-05-25T04:32:23+08:00] dry-run processed=150/3528 success=149 failure=1 diff=4 pending=3377 rate=0.30/s
[2026-05-25T04:33:54+08:00] dry-run processed=175/3528 success=174 failure=1 diff=5 pending=3352 rate=0.29/s
[2026-05-25T04:33:57+08:00] periodic processed=175/3528 success=174 failure=1 diff=5 pending=3351 rate=0.29/s
[2026-05-25T04:35:24+08:00] dry-run processed=200/3528 success=199 failure=1 diff=5 pending=3327 rate=0.29/s
[2026-05-25T04:36:51+08:00] dry-run processed=225/3528 success=223 failure=2 diff=5 pending=3302 rate=0.29/s
[2026-05-25T04:38:24+08:00] dry-run processed=250/3528 success=248 failure=2 diff=5 pending=3277 rate=0.29/s
[2026-05-25T04:38:57+08:00] periodic processed=259/3528 success=257 failure=2 diff=5 pending=3267 rate=0.29/s
[2026-05-25T04:39:52+08:00] dry-run processed=275/3528 success=273 failure=2 diff=7 pending=3252 rate=0.29/s
[2026-05-25T04:41:25+08:00] dry-run processed=300/3528 success=298 failure=2 diff=9 pending=3227 rate=0.29/s
[2026-05-25T04:42:54+08:00] dry-run processed=325/3528 success=323 failure=2 diff=9 pending=3202 rate=0.29/s
